[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
1,Activo,,Asset,Debit,,Yes,,,,,,,,,,,,
11,Activo Corriente,,Asset,Debit,,Yes,,1,,,,,,,,,,
111,Disponibilidades,,Asset,Debit,,Yes,,11,,,,,,,,,,
1111,Caja,,Asset,Debit,,Yes,,111,,,,,,,,,,
111101,Caja,Caja,Asset,Debit,Yes,,CB_ASSET_ACCT,1111,,,,,,,,,,
111102,Caja en Transferencia,Caja en Transferencia,Asset,Debit,Yes,,CB_CASHTRANSFER_ACCT,1111,,,,,,,,,,
111103,Fondo Fijo,Fondo Fijo,Asset,Debit,Yes,,,1111,,,,,,,,,,
111104,Valores a Depositar,Valores a Depositar,Asset,Debit,Yes,,,1111,,,,,,,,,,
1112,Bancos,,Asset,Debit,,Yes,,111,,,,,,,,,,
111201,Banco XX,Banco XX,Asset,Debit,Yes,,B_ASSET_ACCT,1112,,,,,,,,,,
111202,Banco YY,Banco YY,Asset,Debit,Yes,,,1112,,,,,,,,,,
111203,Banco en Transferencia,Transacciones Bancarias en Transito,Asset,Debit,Yes,,B_INTRANSIT_ACCT,1112,,,,,,,,,,
111204,Banco Recibos No Identificados,Recibos de Clientes No Identificados,Asset,Debit,Yes,,B_UNIDENTIFIED_ACCT,1112,,,,,,,,,,
111205,Banco Recibos No Imputados,Pagos recibidos no imputados,Asset,Debit,Yes,,B_UNALLOCATEDCASH_ACCT,1112,,,,,,,,,,
112,Creditos  ,,Asset,Debit,,Yes,,11,,,,,,,,,,
1121,Creditos por Ventas  ,,Asset,Debit,,Yes,,112
112101,Deudores por Ventas,Deudores por Ventas,Asset,Debit,Yes,,C_RECEIVABLE_ACCT,1121
112102,Documentos a Cobrar,Documentos a Cobrar,Asset,Debit,,,,1121
112103,Documentos Descontados,Documentos Descontados,Asset,Debit,,,,1121
112104,Deudores Morosos,Deudores Morosos,Asset,Debit,,,,1121
112105,Deudores en Gestion Judicial,Deudores en Gestion Judicial,Asset,Debit,,,,1121
112106,Documentos a Cobrar Vencidos,Documentos a Cobrar Vencidos,Asset,Debit,,,,1121
112107,Documentos a Cobrar en Gestion,Documentos a Cobrar en Gestion,Asset,Debit,,,,1121
112108,Intereses Positivos a Devengar,Intereses Positivos a Devengar ( Reg del Activo)      ,Asset,Debit,,,,1121
112109,Deudores del Exterior,Deudores del Exterior,Asset,Debit,,,,1121
112110,Prevision para Deudores Incobrables,Prevision para Deudores Incobrables(Reg. del Activo),Asset,Debit,,,,1121
112111,Facturas pendientes de Emitir,Facturas pendientes de Emitir,Asset,Debit,Yes,,NOTINVOICEDRECEIVABLES_ACCT,1121
112112,Otros Ingresos no facturados,,Asset,Debit,Yes,,NOTINVOICEDREVENUE_ACCT,1121
1122,Creditos Impositivos,,Asset,Debit,,Yes,,112
112201,Retenciones Imp.a las Ganancias,Retenciones Imp.a las Ganancias,Asset,Debit,Yes,,,1122
112202,Anticipo Imp.a las Ganancias,Anticipo Imp.a las Ganancias,Asset,Debit,Yes,,,1122
112203,Retenciones IIBB,Retenciones IIBB,Asset,Debit,Yes,,,1122
112204,Percepciones IIBB,Percepciones IIBB,Asset,Debit,Yes,,,1122
112205,Retenciones IVA,Retenciones IVA,Asset,Debit,Yes,,,1122
112206,Percepciones IVA,Percepciones IVA,Asset,Debit,Yes,,,1122
112207,IVA Credito Fiscal,IVA Credito Fiscal,Asset,Debit,Yes,,T_CREDIT_ACCT,1122
112208,IVA Saldo a Favor,IVA Saldo a Favor,Asset,Debit,Yes,,,1122
112209,Retenciones Contribuciones Patronales,Retenciones Contribuciones Patronales,Asset,Debit,Yes,,,1122
112210,Otros Creditos Impositivos,,Asset,Debit,Yes,,T_RECEIVABLES_ACCT,1122
1123,Otros Creditos,,Asset,Debit,,Yes,,112
112301,Deudores varios,Deudores varios,Asset,Debit,Yes,,C_RECEIVABLE_SERVICES_ACCT,1123
112302,Accionistas  ( Socio X Cuenta aporte),Accionistas  ( Socio X Cuenta aporte),Asset,Debit,,,,1123
112303,Prestamos al Personal,Prestamos al Personal,Asset,Debit,Yes,,E_PREPAYMENT_ACCT,1123
112304,Alquileres pagados por adelantado,Alquileres pagados por adelantado,Asset,Debit,,,,1123
112305,Seguros pagados por adelantado,Seguros pagados por adelantado,Asset,Debit,,,,1123
112306,Otros Gastos pagados por adelantado,Otros Gastos pagados por adelantado,Asset,Debit,,,,1123
112307,Dividendos a Cobrar,Dividendos a Cobrar,Asset,Debit,,,,1123
112308,Intereses a cobrar,Intereses a cobrar,Asset,Debit,,,,1123
112309,Depositos en Garantia,Depositos en Garantia,Asset,Debit,,,,1123
112310,Anticipo a Proveedores,Anticipo a Proveedores,Asset,Debit,Yes,,V_PREPAYMENT_ACCT,1123
112320,Payment discount expense,,Asset,Debit,Yes,,PAYDISCOUNT_EXP_ACCT,1123
112330,Payment discount revenue,,Asset,Debit,Yes,,PAYDISCOUNT_REV_ACCT,1123
113,Bienes de Cambio,,Asset,Debit,,Yes,,11
1131,Materias Primas,,Asset,Debit,,Yes,,113
113101,Materias Primas,Materias Primas,Asset,Debit,Yes,,,1131
113102,Materias Primas en Transito,Materias Primas en Transito,Asset,Debit,Yes,,,1131
1132,Productos en Proceso,,Asset,Debit,,Yes,,113
113201,Productos en Proceso,Productos en Proceso,Asset,Debit,Yes,,W_INVENTORY_ACCT,1132
1133,Productos Terminados,,Asset,Debit,,Yes,,113
113301,Productos Terminados,Productos Terminados,Asset,Debit,Yes,,P_ASSET_ACCT,1133
113302,Productos Terminados en Transito,Productos Terminados en Transito,Asset,Debit,Yes,,,1133
1134,Ajuste de Inventario,,Asset,Debit,Yes,,W_INVACTUALADJUST_ACCT,113
1135,Revaluo de inventario,,Asset,Debit,Yes,,W_REVALUATION_ACCT,113
114,Inversiones CP,,Asset,Debit,,Yes,,11
1141,Inversiones CP,,Asset,Debit,,Yes,,114
114101,Banco Plazo Fijo,Banco Plazo Fijo,Asset,Debit,,,,1141
114102,Titulos Publicos,Titulos Publicos,Asset,Debit,,,,1141
114103,Acciones,Acciones,Asset,Debit,,,,1141
114104,Intereses a Devengar,Intereses a Devengar,Asset,Debit,,,,1141
114105,Moneda extranjera,Moneda extranjera,Asset,Debit,,,,1141
115,Proyectos,,Asset,Debit,,Yes,,11
