[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
0,Anlagevermögen,Anlagevermögen,Asset,,,Yes,,,,,,,,,,,,
0100,Konzessionen,Konzessionen,Asset,,,,,0,,,,,,,,,,
0110,"Patente, Lizenzen","Patente, Lizenzen",Asset,,,,,0,,,,,,,,,,
0120,Datenverarbeitungsprogramme,Datenverarbeitungsprogramme,Asset,,,,,0,,,,,,,,,,
0130,"Marken, Musterschutz, Urheberrechte","Marken, Musterschutz, Urheberrechte",Asset,,,,,0,,,,,,,,,,
0140,Pacht- und Mietrechte,Pacht- und Mietrechte,Asset,,,,,0,,,,,,,,,,
0150,Firmenwert,Firmenwert,Asset,,,,,0,,,,,,,,,,
0160,Verschmelzungswert,Verschmelzungswert,Asset,,,,,0,,,,,,,,,,
0180,geleistete Anzahlungen,geleistete Anzahlungen,Asset,,,,,0,,,,,,,,,,
0200,bebaute Grundstücke (Grundwert),bebaute Grundstücke (Grundwert),Asset,,,,,0,,,,,,,,,,
0210,Betriebs- und Geschäftsgebäude auf eigenem Grund,Betriebs- und Geschäftsgebäude auf eigenem Grund,Asset,,,,,0,,,,,,,,,,
0220,Wohn- und Sozialgebäude auf eigenem Grund,Wohn- und Sozialgebäude auf eigenem Grund,Asset,,,,,0,,,,,,,,,,
0230,Betriebs- und Geschäftsgebäude auf fremdem Grund,Betriebs- und Geschäftsgebäude auf fremdem Grund,Asset,,,,,0,,,,,,,,,,
0240,Wohn- und Sozialgebäude auf fremdem Grund,Wohn- und Sozialgebäude auf fremdem Grund,Asset,,,,,0,,,,,,,,,,
0250,bauliche Investitionen in fremden Gebäuden,bauliche Investitionen in fremden Gebäuden,Asset,,,,,0,,,,,,,,,,
0260,bauliche Investitionen in fremden Sozialgebäuden,bauliche Investitionen in fremden Sozialgebäuden,Asset,,,,,0,,,,,,,,,,
0270,Grundstückseinrichtungen eigener Grundstücke,Grundstückseinrichtungen eigener Grundstücke,Asset,,,,,0,,,,,,,,,,
0280,Grundstückseinrichtungen fremder Grundstücke,Grundstückseinrichtungen fremder Grundstücke,Asset,,,,,0,,,,,,,,,,
0285,aktivierungspflichtige Instandsetzung,aktivierungspflichtige Instandsetzung,Asset,,,,,0,,,,,,,,,,
0299,kumulierte Abschreibungen,kumulierte Abschreibungen,Asset,,,,,0,,,,,,,,,,
0300,unbebaute Grundstücke,unbebaute Grundstücke,Asset,,,,,0,,,,,,,,,,
0399,kumulierte Abschreibungen,kumulierte Abschreibungen,Asset,,,,,0,,,,,,,,,,
0400,Fertigungsmaschinen,Fertigungsmaschinen,Asset,,,,,0,,,,,,,,,,
0410,Antriebsmaschinen,Antriebsmaschinen,Asset,,,,,0,,,,,,,,,,
0420,Energieversorgungsanlagen,Energieversorgungsanlagen,Asset,,,,,0,,,,,,,,,,
0430,Transportanlagen,Transportanlagen,Asset,,,,,0,,,,,,,,,,
0440,sonstige technische Anlagen und Maschinen,sonstige technische Anlagen und Maschinen,Asset,,,,,0,,,,,,,,,,
0499,kumulierte Abschreibungen,kumulierte Abschreibungen,Asset,,,,,0,,,,,,,,,,
0500,Maschinenwerkzeuge,Maschinenwerkzeuge,Asset,,,,,0,,,,,,,,,,
0510,allgemeine Werkzeuge und Handwerkzeuge,allgemeine Werkzeuge und Handwerkzeuge,Asset,,,,,0,,,,,,,,,,
0520,"Vorrichtungen, Formen und Modelle","Vorrichtungen, Formen und Modelle",Asset,,,,,0,,,,,,,,,,
0530,andere Erzeugungshilfsmittel,andere Erzeugungshilfsmittel,Asset,,,,,0,,,,,,,,,,
0550,Hebezeuge und Montageanlagen,Hebezeuge und Montageanlagen,Asset,,,,,0,,,,,,,,,,
0560,Beheizungs- und Beleuchtungsanlagen,Beheizungs- und Beleuchtungsanlagen,Asset,,,,,0,,,,,,,,,,
0570,Nachrichten- und Kontrollanlagen,Nachrichten- und Kontrollanlagen,Asset,,,,,0,,,,,,,,,,
0580,Betriebsausstattung,Betriebsausstattung,Asset,,,,,0,,,,,,,,,,
0590,Geschäftsausstattung,Geschäftsausstattung,Asset,,,,,0,,,,,,,,,,
0600,Büroeinrichtung,Büroeinrichtung,Asset,,,,,0,,,,,,,,,,
0610,Einrichtung von Verkaufsräumen,Einrichtung von Verkaufsräumen,Asset,,,,,0,,,,,,,,,,
0620,Büromaschinen,Büromaschinen,Asset,,,,,0,,,,,,,,,,
0625,EDV-Anlagen,EDV-Anlagen,Asset,,,,,0,,,,,,,,,,
0630,PKW,PKW,Asset,,,,,0,,,,,,,,,,
0640,LKW,LKW,Asset,,,,,0,,,,,,,,,,
0650,Fuhrpark,Fuhrpark,Asset,,,,,0,,,,,,,,,,
0670,Gebinde,Gebinde,Asset,,,,,0,,,,,,,,,,
0680,geringwertige Wirtschaftsgüter,geringwertige Wirtschaftsgüter,Asset,,,,,0,,,,,,,,,,
0699,kumulierte Abschreibungen,kumulierte Abschreibungen,Asset,,,,,0,,,,,,,,,,
0700,geleistete Anzahlungen,geleistete Anzahlungen,Asset,,,,,0,,,,,,,,,,
0710,Anlagen in Bau,Anlagen in Bau,Asset,,,,,0,,,,,,,,,,
0799,kumulierte Abschreibungen,kumulierte Abschreibungen,Asset,,,,,0,,,,,,,,,,
0800,Beteiligungen an verbundenen Unternehmen,Beteiligungen an verbundenen Unternehmen,Asset,,,,,0,,,,,,,,,,
0810,Beteiligungen an Gemeinschaftsunternehmen,Beteiligungen an Gemeinschaftsunternehmen,Asset,,,,,0,,,,,,,,,,
0840,Ausleihungen gegenüber verbundenen Unternehmen,Ausleihungen gegenüber verbundenen Unternehmen,Asset,,,,,0,,,,,,,,,,
0850,Ausleihungen ggü. Untern. m. denen Beteiligungsverh. besteht,Ausleihungen ggü. Untern. m. denen Beteiligungsverh. besteht,Asset,,,,,0,,,,,,,,,,
0860,sonstige Ausleihungen,sonstige Ausleihungen,Asset,,,,,0,,,,,,,,,,
0870,Wertpapiere Par. 14 EStG,Wertpapiere Par. 14 EStG,Asset,,,,,0,,,,,,,,,,
0880,Anteile an Kapitalgesellschaften ohne Beteiligungscharakter,Anteile an Kapitalgesellschaften ohne Beteiligungscharakter,Asset,,,,,0,,,,,,,,,,
0890,Anteile an Personengesellschaften ohne Beteiligungscharakter,Anteile an Personengesellschaften ohne Beteiligungscharakter,Asset,,,,,0,,,,,,,,,,
0900,Genossenschaftsanteile ohne Beteiligungscharakter,Genossenschaftsanteile ohne Beteiligungscharakter,Asset,,,,,0,,,,,,,,,,
0910,Anteile an Investmentfonds,Anteile an Investmentfonds,Asset,,,,,0,,,,,,,,,,
0920,festverzinsliche Wertpapiere,festverzinsliche Wertpapiere,Asset,,,,,0,,,,,,,,,,
0939,kumulierte Abschreibungen,kumulierte Abschreibungen,Asset,,,,,0,,,,,,,,,,
0940,geleistete Anzahlungen,geleistete Anzahlungen,Asset,,,,,0,,,,,,,,,,
1,Vorräte,Vorräte,Asset,,,Yes,,,,,,,,,,,,
1000,Rohstoffe,Rohstoffe,Asset,,Yes,,P_ASSET_ACCT,1,,,,,,,,,,
1200,bezogene Teile,bezogene Teile,Asset,,,,,1,,,,,,,,,,
1300,Hilfsstoffe,Hilfsstoffe,Asset,,,,,1,,,,,,,,,,
1400,Betriebsstoffe,Betriebsstoffe,Asset,,,,,1,,,,,,,,,,
1500,halbfertige Erzeugnisse,halbfertige Erzeugnisse,Asset,,,,,1,,,,,,,,,,
1550,fertige Erzeugnisse,fertige Erzeugnisse,Asset,,,,,1,,,,,,,,,,
1600,Warenlager,Warenlager,Asset,,Yes,,W_INVENTORY_ACCT,1,,,,,,,,,,
1601,Ware unterwegs,Ware unterwegs,Asset,,,,,1,,,,,,,,,,
1610,Verpackung,Verpackung,Asset,,,,,1,,,,,,,,,,
1615,Werbematerial,Werbematerial,Asset,,,,,1,,,,,,,,,,
1620,Heizmaterial,Heizmaterial,Asset,,,,,1,,,,,,,,,,
1700,noch nicht abrechenbare Leistungen,noch nicht abrechenbare Leistungen,Asset,,,,,1,,,,,,,,,,
