[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],US 1120 Balance Sheet_Name,[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
BA,Bilanz - Aktiva,Bilanz - Aktiva,Asset,,,Yes,,,BA,Bilanz - Aktiva,,,,,,,,
BP,Bilanz - Passiva,Bilanz - Passiva,Liability,,,Yes,,,BP,Bilanz - Passiva,,,,,,,,
GVA,Gewinn u. Verlust - Aufwendungen,Gewinn u. Verlust - Aufwendungen,Expense,,,Yes,,,,,,,GVA,Gewinn u. Verlust - Aufwendungen,,,,
GVE,Gewinn u. Verlust - Erträge,Gewinn u. Verlust - Erträge,Revenue,,,Yes,,,,,,,GVE,Gewinn u. Verlust - Erträge,,,,
K0BA,Anlagevermögen,Anlagevermögen,Asset,,,Yes,,BA,K0BA,Anlagevermögen,,,,,,,,
K1BA,Umlaufvermögen,Umlaufvermögen,Asset,,,Yes,,BA,K1BA,Umlaufvermögen,,,,,,,,
K2BP,Eingenkapital,Eingenkapital,Owner's Equity,,,Yes,,BP,K2BP,Eingenkapital,,,,,,,,
K3BP,Fremdkapital,Fremdkapital,Liability,,,Yes,,BP,K3BP,Fremdkapital,,,,,,,,
K4GVE,Betriebliche Erträge,Betriebliche Erträge,Revenue,,,Yes,,GVE,,,,,K4GVE,Betriebliche Erträge,,,,
K7GVE,Weitere Erträge,Weitere Erträge,Revenue,,,Yes,,GVE,,,,,K7GVE,Weitere Erträge,,,,
K5GVA,Betriebliche Aufwendungen,Betriebliche Aufwendungen,Expense,,,Yes,,GVA,,,,,K5GVA,Betriebliche Aufwendungen,,,,
K6GVA,Betriebliche Aufwendungen,Betriebliche Aufwendungen,Expense,,,Yes,,8,,,,,K6GVA,Betriebliche Aufwendungen,,,,
K7GVA,Weitere Aufwendungen,Weitere Aufwendungen,Expense,,,Yes,,GVA,,,,,K7GVA,Weitere Aufwendungen,,,,
K9VKS,Vortrags- Kapital- und Statistische Konten,Vortrags- Kapital- und Statistische Konten,Memo,,,Yes,,,,,,,K9VKS,Vortrags- Kapital- und Statistische Konten,,,,
K0BA1,Ausstehende Einlagen auf das gezeichnete Kapital,Ausstehende Einlagen auf das gezeichnete Kapital,Asset,,,Yes,,K0BA,K0BA1,Ausstehende Einlagen auf das gezeichnete Kapital,,,,,,,,
K0BA11,Ausstehende Einlagen auf das gezeichnete Kapital,Ausstehende Einlagen auf das gezeichnete Kapital,Asset,,,Yes,,K0BA1,,,,,,,,,,
1,Ausstehende Einlagen auf das gezeichnete Kapital- nichteingefordert (Aktivausweis),Ausstehende Einlagen auf das gezeichnete Kapital- nichteingefordert (Aktivausweis),Asset,,,No,,K0BA11,,,,,,,,,,
40,Ausstehende Einlagen auf das gezeichnete Kapital- eingefordert (Aktivausweis),Ausstehende Einlagen auf das gezeichnete Kapital- eingefordert (Aktivausweis),Asset,,,No,,K0BA11,,,,,,,,,,
K0BA12,Sonstige Aktiva oder sonstige Passiva,Sonstige Aktiva oder sonstige Passiva,Asset,,,Yes,,K0BA1,,,,,,,,,,
50,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
51,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
52,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
53,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
54,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
55,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
56,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
57,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
58,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
59,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
60,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
61,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
62,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
63,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
64,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
65,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
66,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
67,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
68,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
69,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Ausstehende Einlagen auf das Komplementär-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
70,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
71,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
72,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
73,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
74,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
75,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
76,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
77,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
78,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
