[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
,,,,,,,,,,,,,,,,,,
1,Befektetett eszközök,,Asset,,,Yes,,,,,,,,,,,,
11,Immateriális javak,,,,,Yes,,1,,,,,,,,,,
111,Alapítás-átszervezés aktivált értéke,,Asset,Natural,,,,11,,,,,,,,,,
112,Kísérleti fejlesztés aktivált értéke,,,,,,,11,,,,,,,,,,
113,Vagyoni értékû jogok,,,,,,,11,,,,,,,,,,
114,Szellemi termékek,,,,,,,11,,,,,,,,,,
115,Üzleti vagy cégérték,,,,,,,11,,,,,,,,,,
117,Immateriális javak értékhelyesbítése,,,,,,,11,,,,,,,,,,
118,Immateriális javak terven felüli értékcsökkenése és annak visszaírása,,,,,,,11,,,,,,,,,,
119,Immateriális javak terv szerinti értékcsökkenése,,,,,,,11,,,,,,,,,,
12,Ingatlanok,,,,,Yes,,1,,,,,,,,,,
122,"Telek, telkesítés",,,,,Yes,,12,,,,,,,,,,
1221,Telkek,,,,,,,122,,,,,,,,,,
13,"Műszaki berendezések, gépek, járművek",,,,,Yes,,1,,,,,,,,,,
14,Egyéb berendezések,,,,,Yes,,1,,,,,,,,,,
15,Tenyészállatok,,,,,Yes,,1,,,,,,,,,,
16,"Beruházások, felújítások",,,,,Yes,,1,,,,,,,,,,
17,TULAJDONI RÉSZESEDÉST JELENTÕ BEFEKTETÉSEK,,,,,Yes,,1,,,,,,,,,,
18,HITELVISZONYT MEGTESTESÍTÕ ÉRTÉKPAPÍROK,,,,,Yes,,1,,,,,,,,,,
19,TARTÓSAN ADOTT KÖLCSÖNÖK,,,,,Yes,,1,,,,,,,,,,
2,Készletek,,Asset,,,Yes,,,,,,,,,,,,
21,Nyersanyagok,,,,,Yes,,2,,,,,,,,,,
211,Anyag1,,,,,,,21,,,,,,,,,,
212,Anyag2,,,,,,,21,,,,,,,,,,
22,Anyagok,,,,,Yes,,2,,,,,,,,,,
221,Segédanyagok,,,,,Yes,,22,,,,,,,,,,
222,Üzemanyagok,,,,,,,22,,,,,,,,,,
225,Egy éven belül elhasználódó anyagi eszközök,,,,,,,22,,,,,,,,,,
226,Tárgyi eszközök közül átsorolt anyagok,,,,,,,22,,,,,,,,,,
227,Egyéb anyagok,,,,,,,22,,,,,,,,,,
228,Anyagok árkülönbözete,,,,,,,22,,,,,,,,,,
229,Anyagok értékvesztése és annak visszaírása,,,,,,,22,,,,,,,,,,
23,Befejezetlen termelés és félkész termékek,,,,,Yes,,2,,,,,,,,,,
24,"Növendék-, hízó- és egyéb állatok",,,,,Yes,,2,,,,,,,,,,
25,Késztermékek,,,,,Yes,,2,,,,,,,,,,
26,Kereskedelmi áruk,,,,,Yes,,2,,,,,,,,,,
261,Áruk beszerzési áron,,,,,,,26,,,,,,,,,,
262,Áruk elszámoló áron,,,,,,,26,,,,,,,,,,
263,Áruk árkülönbözete,,,,,,,26,,,,,,,,,,
264,Áruk eladási áron,,,,,,,26,,,,,,,,,,
265,Áruk árrése,,,,,,,26,,,,,,,,,,
266,"Idegen helyen tárolt, bizományba átadott áruk",,,,,,,26,,,,,,,,,,
267,Tárgyi eszközök közül átsorolt áruk,,,,,,,26,,,,,,,,,,
268,"Belsõ (egységek, tevékenységek közötti) átadás-átvétel ütközõszámla",,,,,,,26,,,,,,,,,,
269,Kereskedelmi áruk értékvesztése és annak visszaírás,,,,,,,26,,,,,,,,,,
27,Közvetített szolgáltatások,,,,,Yes,,2,,,,,,,,,,
271,Közvetített szolgáltatások,,,,,Yes,,27,,,,,,,,,,
2711,Informatikai tanácsadás,,,,,,,271,,,,,,,,,,
279,Közvetített szolgáltatások értékvesztése és annak visszaírása,,,,,,,27,,,,,,,,,,
28,Betétdíjas göngyölegek,,,,,,,2,,,,,,,,,,
3,Követelések,"KÖVETELÉSEK, PÉNZÜGYI ESZKÖZÖK AKTÍV IDÕBELI ELHATÁROLÁSOK",,,,Yes,,,,,,,,,,,,
