"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","[Balance Sheet]","[Balance Sheet_Name]","[US 1120 Balance Sheet]","US 1120 Balance Sheet_Name","[Profit & Loss]","[Profit & Loss_Name]","[US 1120 Income Statement]","[US 1120 Income Statement_Name]","[Cash Flow]","[Cash Flow_Name]","[tri]"
1,"1 - CONTURI DE CAPITALURI","1 - CONTURI DE CAPITALURI","Owner's Equity",,"Yes","Yes",,,1,"1 - CONTURI DE CAPITALURI",,,,,,,,,100000000
10,"10 - CAPITAL ŞI REZERVE","10 - CAPITAL ŞI REZERVE","Owner's Equity",,"Yes","Yes",,1,10,"10 - CAPITAL ŞI REZERVE",,,,,,,,,100000001
101,"101 - CAPITAL SOCIAL","101 - Capital social","Liability",,"Yes","Yes",,10,101,"101 - CAPITAL SOCIAL",,,,,,,,,101000002
1011,"1011 - Capital subscris nevărsat","1011 - Capital subscris nevărsat","Liability","Credit","No","No",,101,1011,"1011 - Capital subscris nevărsat",,,,,,,,,101100003
1012,"1012 - Capital subscris vărsat","1012 - Capital subscris vărsat","Liability","Credit","No","No",,101,1012,"1012 - Capital subscris vărsat",,,,,,,,,101200003
1015,"1015 - Patrimoniul regiei","1015 - Patrimoniul regiei","Liability","Credit","No","No",,101,1015,"1015 - Patrimoniul regiei",,,,,,,,,101500003
1016,"1016 - Patrimoniul public","1016 - Patrimoniul public","Liability","Credit","No","No",,101,1016,"1016 - Patrimoniul public",,,,,,,,,101600003
104,"104 - PRIME DE CAPITAL","104 - Prime de capital","Liability","Credit","Yes","Yes",,10,104,"104 - PRIME DE CAPITAL",,,,,,,,,104000002
1041,"1041 - Prime de emisiune","1041 - Prime de emisiune","Liability","Credit","No","No",,104,1041,"1041 - Prime de emisiune",,,,,,,,,104100003
1042,"1042 - Prime de fuziune","1042 - Prime de fuziune","Liability","Credit","No","No",,104,1042,"1042 - Prime de fuziune",,,,,,,,,104200003
1043,"1043 - Prime de aport","1043 - Prime de aport","Liability","Credit","No","No",,104,1043,"1043 - Prime de aport",,,,,,,,,104300003
1044,"1044 - PRIME DE CONVERSIE A OBLIGAŢIUNILOR ÎN ACŢIUNI","1044 - Prime de conversie a obligaţiunilor în acţiuni","Liability","Credit","No","No",,104,1044,"1044 - PRIME DE CONVERSIE A OBLIGAŢIUNILOR ÎN ACŢIUNI",,,,,,,,,104400003
105,"105 - REZERVE DIN REEVALUARE","105 - Rezerve din reevaluare","Liability","Credit","No","No",,10,105,"105 - REZERVE DIN REEVALUARE",,,,,,,,,105000002
106,"106 - REZERVE","106 - Rezerve","Liability","Credit","Yes","Yes",,10,106,"106 - REZERVE",,,,,,,,,106000002
1061,"1061 - Rezerve legale","1061 - Rezerve legale","Liability","Credit","No","No",,106,1061,"1061 - REZERVE LEGALE",,,,,,,,,106100003
1063,"1063 - Rezerve statutare sau contractuale","1063 - Rezerve statutare sau contractuale","Liability","Credit","No","No",,106,1063,"1063 - REZERVE STATUTARE SAU CONTRACTUALE",,,,,,,,,106300003
1065,"1065 - Rezerve reprezentând surplusul realizat din rezervele din reevaluare","1065 - Rezerve reprezentând surplusul realizat din rezervele din reevaluare","Liability","Credit","No","No",,106,1065,"1065 - Rezerve reprezentând surplusul realizat din rezervele din reevaluare",,,,,,,,,106500003
1068,"1068 - ALTE REZERVE","1068 - Alte rezerve","Liability","Credit","No","No",,106,1068,"1068 - ALTE REZERVE",,,,,,,,,106800003
109,"109 - ACŢIUNI PROPRII","109 - Acţiuni proprii","Owner's Equity",,"Yes","Yes",,10,109,"109 - ACŢIUNI PROPRII",,,,,,,,,109000002
1091,"1091 - Acţiuni proprii deţinute pe termen scurt","1091 - Acţiuni proprii deţinute pe termen scurt","Owner's Equity",,"No","No",,109,1091,"1091 - Acţiuni proprii deţinute pe termen scurt",,,,,,,,,109100003
1092,"1092 - Acţiuni proprii deţinute pe termen lung","1092 - Acţiuni proprii deţinute pe termen lung","Owner's Equity",,"No","No",,109,1902,"1092 - Acţiuni proprii deţinute pe termen lung",,,,,,,,,109200003
11,"11 - REZULTATUL REPORTAT","11 - Rezultatul reportat","Owner's Equity",,"Yes","Yes",,1,11,"11 - REZULTATUL REPORTAT",,,,,,,,,110000001
117,"117 - REZULTAT REPORTAT","117 - Rezultat reportat","Asset",,"Yes","Yes",,11,117,"117 - REZULTAT REPORTAT",,,,,,,,,117000002
1171,"1171 - Rezultatul reportat reprezentând  profitul nerepartizat sau pierderea neacoperită","1171 - Rezultatul reportat reprezentând  profitul nerepartizat sau pierderea neacoperită","Asset",,"No","No",,117,1171,"1171 - Rezultatul reportat reprezentand  profitul nerepartizat sau pierderea neacoperită",,,,,,,,,117100003
1172,"1172 - Rezultatul reportat provenit din adoptarea pentru prima data a IAS - mai putin IAS 29","1172 - Rezultatul reportat provenit din adoptarea pentru prima data a IAS - mai putin IAS 29","Asset",,"No","No",,117,1172,"1172 - Rezultatul reportat provenit din adoptarea pentru prima data a IAS - mai putin IAS 29",,,,,,,,,117200003
1174,"1174 - Rezultatul reportat provenit din corectarea erorilor contabile","1174 - Rezultatul reportat provenit din corectarea erorilor contabile","Asset",,"No","No",,117,1174,"1174 - Rezultatul reportat provenit din corectarea erorilor contabile",,,,,,,,,117400003
1176,"1176 - Rezultatul reportat provenind din trecerea la aplicarea Reglementărilor contabile conforme cu Directiva a patra a CEE","1176 - Rezultatul reportat provenind din trecerea la aplicarea Reglementărilor contabile conforme cu Directiva a patra a CEE","Asset",,"No","No",,117,1176,"1176 - Rezultatul reportat provenind din trecerea la aplicarea Reglemetărilor contabile conforme cu Directiva a patra a CEE",,,,,,,,,117600003
12,"12 - REZULTATUL EXERCIŢIULUI","12 - Rezultatul exerciţiului","Asset",,"Yes","Yes",,1,12,"12 - REZULTATUL EXERCIŢIULUI",,,,,,,,,120000001
121,"121 - Profit şi pierdere","121 - Profit şi pierdere","Expense",,"No","No","INCOMESUMMARY_ACCT",12,121,"121 - PROFIT ŞI PIERDERE",,,,,,,,,121000002
129,"129 - Repartizarea profitului","129 - Repartizarea profitului","Asset",,"No","No",,12,129,"129 - REPARTIZAREA PROFITULUI",,,,,,,,,129000002
13,"13 - SUBVENŢII PENTRU INVESTIŢII","13 - Subvenţii pentru investiţii","Asset",,"Yes","Yes",,1,13,"13 - SUBVENŢII PENTRU INVESTIŢII",,,,,,,,,130000001
131,"131 - Subvenţii pentru investiţii","131 - Subvenţii pentru investiţii","Liability",,"No","No",,13,131,"131 - Subvenţii pentru investiţii",,,,,,,,,131000002
132,"132 - Împrumuturi nerambursabile cu caracter de subvenţii pentru investiţii","132 - Împrumuturi nerambursabile cu caracter de subvenţii pentru investiţii",,,"No","No",,13,132,"132 - Împrumuturi nerambursabile cu caracter de subvenţii pentru investiţii",,,,,,,,,132000002
133,"133 - Donaţii pentru investiţii","133 - Donaţii pentru investiţii",,,"No","No",,13,133,"133 - Donaţii pentru investiţii",,,,,,,,,133000002
134,"134 - Plusuri de inventar de natura imobilizărilor","134 - Plusuri de inventar de natura imobilizărilor",,,"No","No",,13,134,"134 - Plusuri de inventar de natura imobilizărilor",,,,,,,,,134000002
138,"138 - Alte sume primite cu caracter de subvenţii pentru investiţii","138 - Alte sume primite cu caracter de subvenţii pentru investiţii",,,"No","No",,13,138,"138 - Alte sume primite cu caracter de subvenţii pentru investiţii",,,,,,,,,138000002
15,"15 - PROVIZIOANE PENTRU RISCURI ŞI CHELTUIELI","15 - Provizioane pentru riscuri şi cheltuieli","Liability",,"Yes","Yes",,1,15,"15 - PROVIZIOANE PENTRU RISCURI ŞI CHELTUIELI",,,,,,,,,150000001
151,"151 - PROVIZIOANE PENTRU RISCURI ŞI CHELTUIELI","151 - Provizioane pentru riscuri şi cheltuieli","Liability","Credit","Yes","Yes",,15,151,"151 - PROVIZIOANE PENTRU RISCURI ŞI CHELTUIELI",,,,,,,,,151000002
1511,"1511 - Provizioane pentru litigii","1511 - Provizioane pentru litigii","Liability","Credit","No","No",,151,1511,"1511 - Provizioane pentru litigii",,,,,,,,,151100003
1512,"1512 - Provizioane pentru garanţii acordate clienţilor","1512 - Provizioane pentru garanţii acordate clienţilor","Liability","Credit","No","No",,151,1512,"1512 - Provizioane pentru garanţii acordate clienţilor",,,,,,,,,151200003
1513,"1513 - Provizioane pentru dezafectarea imobilizărilor corporale şi alte acţiuni similare legate de acestea","1513 - Provizioane pentru dezafectarea imobilizărilor corporale şi alte acţiuni similare legate de acestea","Liability","Credit","No","No",,151,1513,"1513 - Provizioane pentru dezafectarea imobilizărilor corporale şi alte acţiuni similare legate de acestea",,,,,,,,,151300003
1514,"1514 - Provizioane pentru restructurare","1514 - Provizioane pentru restructurare","Liability","Credit","No","No",,151,1514,"1514 - Provizioane pentru restructurare",,,,,,,,,151400003
1515,"1515 - Provizioane pentru pensii âi obligaţii similare","1515 - Provizioane pentru pensii âi obligaţii similare","Liability","Credit","No","No",,151,1515,"1515 - Provizioane pentru pensii âi obligaţii similare",,,,,,,,,151500003
1516,"1516 - Provizioane pentru impozite","1516 - Provizioane pentru impozite","Liability","Credit","No","No",,151,1516,"1516 - Provizioane pentru impozite",,,,,,,,,151600003
1518,"1518 - ALTE PROVIZIOANE PENTRU RISCURI ŞI CHELTUIELI","1518 - Alte provizioane pentru riscuri şi cheltuieli","Liability","Credit","No","No",,151,1518,"1518 - ALTE PROVIZIOANE PENTRU RISCURI ŞI CHELTUIELI",,,,,,,,,151800003
16,"16 - ÎMPRUMUTURI ŞI DATORII ASIMILATE","16 - Împrumuturi şi datorii asimilate","Liability","Credit",,"Yes",,1,16,"16 - ÎMPRUMUTURI ŞI DATORII ASIMILATE",,,,,,,,,160000001
161,"161 - ÎMPRUMUTURI DIN EMISIUNI DE OBLIGAŢIUNI","161 - Împrumuturi din emisiuni de obligaţiuni","Liability","Credit",,"Yes",,16,161,"161 - ÎMPRUMUTURI DIN EMISIUNI DE OBLIGAŢIUNI",,,,,,,,,161000002
1614,"1614 - Împrumuturi externe din emisiuni de obligaţiuni garantate de stat","1614 - Împrumuturi externe din emisiuni de obligaţiuni garantate de stat","Liability","Credit",,"No",,161,1614,"1614 - Împrumuturi externe din emisiuni de obligaţiuni garantate de stat",,,,,,,,,161400003
1615,"1615 - Împrumuturi externe din emisiuni de obligaţiuni garantate de bănci","1615 - Împrumuturi externe din emisiuni de obligaţiuni garantate de bănci","Liability","Credit",,"No",,161,1615,"1615 - Împrumuturi externe din emisiuni de obligaţiuni garantate de bănci",,,,,,,,,161500003
1617,"1617 - Împrumuturi interne din emisiuni de obligaţiuni garantate de stat","1617 - Împrumuturi interne din emisiuni de obligaţiuni garantate de stat","Liability","Credit",,"No",,161,1617,"1617 - Împrumuturi interne din emisiuni de obligaţiuni garantate de stat",,,,,,,,,161700003
