"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","[Balance Sheet]","[Balance Sheet_Name]","[US 1120 Balance Sheet]","US 1120 Balance Sheet_Name","[Profit & Loss]","[Profit & Loss_Name]","[US 1120 Income Statement]","[US 1120 Income Statement_Name]","[Cash Flow]","[Cash Flow_Name]"
1,"สินทรัพย์",,"Asset",,,"Yes",,,1,"สินทรัพย์",15,"Total Assets",,,,,,
11,"สินทรัพย์หมุนเวียน",,"Asset",,,"Yes",,1,11,"สินทรัพย์หมุนเวียน",,,,,,,,
111,"เงินสด",,"Asset",,,"Yes",,11,111,"เงินสดและเงินฝากธนาคาร",1,"Cash",,,,,,
11100,"เงินฝากธนาคาร","Bank Asset","Asset",,"Yes","No","B_ASSET_ACCT",111,,,,,,,,,,
11110,"เงินฝากระหว่างทาง","Bank transactions in transit","Asset",,"Yes","No","B_INTRANSIT_ACCT",111,,,,,,,,,,
11120,"เงินฝากธนาคาร-ไม่ทราบผู้โอน","Receipts from unidentified customer","Asset",,"Yes","No","B_UNIDENTIFIED_ACCT",111,,,,,,,,,,
11130,"เงินฝากธนาคาร-เอกสารไม่สมบูรณ์","Received, unallocated payments","Asset",,"Yes","No","B_UNALLOCATEDCASH_ACCT",111,,,,,,,,,,
11200,"เงินฝากกระแสรายวัน",,"Asset",,,"No","B_INTRANSITAR_ACCT",111,,,,,,,,,,
11300,"เงินฝากออมทรัพย์",,"Asset",,,"No",,111,,,,,,,,,,
11800,"เงินสดในเครื่องเก็บเงิน",,"Asset",,,"No",,111,,,,,,,,,,
11900,"เงินสดย่อย","Cash Book Asset","Asset",,"Yes","No","CB_ASSET_ACCT",111,,,,,,,,,,
11910,"เงินสดย่อยระหว่างทาง","Cash Book Transfer","Asset",,"Yes","No","CB_CASHTRANSFER_ACCT",111,,,,,,,,,,
112,"ลูกหนี้",,"Asset",,,"Yes",,11,112,"ลูกหนี้",,,,,,,,
1121,"ลูกหนี้การค้า",,"Asset",,,"Yes",,112,,,,,,,,,,
11211,"ลูกหนี้การค้า","Accounts Receivables","Asset",,"Yes","No","C_RECEIVABLE_ACCT",1121,,,"2a","Trade nodes and accounts receivables",,,,,,
11212,"ลูกหนี้การค้า - บริการ","Accounts Receivables for Services","Asset",,"Yes","No","C_RECEIVABLE_SERVICES_ACCT",1121,,,"2a","Trade nodes and accounts receivables",,,,,,
11213,"ลูกหนี้เช็คคืน - เงินในบัญชีไม่พอจ่าย",,"Asset",,,"No",,1121,,,"2a",,,,,,,
11213,"สำรองหนึ้สูญลูกหนี้การค้า",,"Asset",,,"No",,1121,,,"2b","Less allowances for bad debts",,,,,,
11215,"ลูกหนี้การค้า-ที่ยังไม่ได้ใบกำกับสินค้า","We delivered but have not invoiced yet","Asset",,"Yes","No","NOTINVOICEDRECEIVABLES_ACCT",1121,,,"2a",,,,,,,
1122,"ลูกหนี้บัตรเครดิต-ระหว่างทาง",,"Asset",,,"Yes",,112,,,,,,,,,,
11221,"ลูกหนี้บัตรเครดิต-Amex",,"Asset",,,"No",,1122,,,"2a",,,,,,,
11222,"ลูกหนี้บัตรเครดิต-Master Card",,"Asset",,,"No",,1122,,,"2a",,,,,,,
11223,"ลูกหนี้บัตรเครดิต-Visa",,"Asset",,,"No",,1122,,,"2a",,,,,,,
11224,"ลูกหนี้บัตรเครดิต-บัตร ATM",,"Asset",,,"No",,1122,,,"2a",,,,,,,
1123,"สำรองหนี้สูญลูกหนี้",,"Asset",,,"Yes",,112,,,,,,,,,,
11231,"สำรองหนี้สูญลูกหนี้บัตรเครดิต",,"Asset",,,"No",,1123,,,"2b",,,,,,,
11232,"สำรองหนี้สูญลูกหนี้สามาชิก",,"Asset",,,"No",,1123,,,"2a",,,,,,,
1124,"ลูกหนี้เงินให้กู้ยืม",,"Asset",,,"Yes",,112,,,,,,,,,,
11241,"ลูกหนี้เงินให้กู้ยืม-พนักงาน",,"Asset",,,"No",,1124,,,"2a",,,,,,,
11242,"ลูกหนี้เงินให้กู้ยืมกรรมการ",,"Asset",,,"No",,1124,,,7,"Loans to Shareholders",,,,,,
11243,"ลูกหนี้เงินให้กู้ยืมอื่น ๆ",,"Asset",,,"No",,1124,,,"2a",,,,,,,
1125,"ค่าใช้จ่ายจ่ายล่วงหน้า",,"Asset",,,"Yes",,112,,,,,,,,,,
12510,"ค่าใช้จ่ายจ่ายล่วงหน้า","Prepayments for future expense","Asset",,"Yes","No","V_PREPAYMENT_ACCT",1125,,,"2a",,,,,,,
12520,"เงินทดรองจ่าย","Expense advances","Asset",,"Yes","No","E_PREPAYMENT_ACCT",1125,,,"2a",,,,,,,
1126,"ภาษีรับ",,"Asset",,,"Yes",,112,,,,,,,,,,
11261,"ภาษีซื้อ","Tax to be re-imbursed - before tax declaration","Asset",,"Yes","No","T_CREDIT_ACCT",1126,,,6,,,,,,,
11262,"ภาษีซื้อยังไม่ถึงกำหนดชำระ",,,,,,"T_NOTCREDIT_ACCT",1126,,,,,,,,,,
11263,"ลูกหนี้กรมสรรพากร","Tax to receive based on tax declaration","Asset",,"Yes","No","T_RECEIVABLES_ACCT",1126,,,6,,,,,,,
11264,"ภาษีถูกหัก ณ ที่จ่าย",,,,,,"WITHHOLDINGAR_ACCT",,,,,,,,,,,
12800,"ลูกหนี้บริษัทในเครือ","Default Receivables account for intercompany trx","Asset",,"Yes","No","INTERCOMPANYDUEFROM_ACCT",112,,,6,,,,,,,
12900,"ลูกหนี้อื่น ๆ",,"Asset",,,"No",,112,,,"2a",,,,,,,
113,"เงินลงทุน",,"Asset",,,"Yes",,11,113,"เงินลงทุน",,,,,,,,
13100,"พันธบัตรรัฐบาล",,"Asset",,,"No",,113,,,4,"US Government Obligations",,,,,,
13300,"เงินลงทุนอื่น ๆ",,"Asset",,,"No",,113,,,9,"Other Investments",,,,,,
114,"สินค้าคงเหลือ",,"Asset",,,"Yes",,1,114,"สินค้าคงเหลือ",3,"Inventories",,,,,,
14100,"สินค้าคงเหลือ-ทั่วไป","Inventory Account","Asset",,"Yes","No","W_INVENTORY_ACCT",11,,,,,,,,,,
14120,"สินค้าคงเหลือ-ผลิตภัณฑ์","Product Inventory Account","Asset",,"Yes","No","P_ASSET_ACCT",114,,,,,,,,,,
115,"ค่าใช้จ่ายจ่ายล่วงหน้า  เงินมัดจำและสินทรัพย์หมุนเวียนอื่น",,"Asset",,,"Yes",,11,115,"ค่าใช้จ่ายจ่ายล่วงหน้า  เงินมัดจำและสินทรัพย์หมุนเวียนอื่น",6,"Other Current Assets",,,,,,
1151,"ค่าใช้จ่ายจ่ายล่วงหน้า",,"Asset",,,"Yes",,115,,,,,,,,,,
11511,"ค่าเบี้ยประกันจ่ายล่วงหน้า",,"Asset",,,"No",,1151,,,,,,,,,,
11512,"ค่าเช่าจ่ายล่วงหน้า",,"Asset",,,"No",,1151,,,,,,,,,,
11513,"ดอกเบี้ยจ่ายล่วงหน้า",,"Asset",,,"No",,1151,,,,,,,,,,
11514,"ค่าใช้จ่ายจ่ายล่วงหน้าอื่นๆ",,"Asset",,,"No",,1151,,,,,,,,,,
1152,"เงินมัดจำ",,"Asset",,,"Yes",,115,,,,,,,,,,
11521,"เงินประกันค่าเช่า",,"Asset",,,"No",,1152,,,,,,,,,,
11522,"เงินประกันค่าน้ำค่าไฟฟ้า",,"Asset",,,"No",,1152,,,,,,,,,,
11523,"เงินมัดจำอื่น ๆ",,"Asset",,,"No",,1152,,,,,,,,,,
1153,"สินทรัพย์หมุนเวียนอื่น",,"Asset",,,"Yes",,115,,,,,,,,,,
11531,"สินทรัพย์หมุนเวียนอื่น",,"Asset",,,"No",,1153,,,,,,,,,,
,,,,,,,,,"15_","รวมสินทรัพย์หมุนเวียน",,,,,,,,
12,"สินทรัพย์ไม่หมุนเวียน",,"Asset",,,"Yes",,1,12,"สินทรัพย์ไม่หมุนเวียน",,,,,,,,
121,"ที่ดิน  อาคารและอุปกรณ์",,"Asset",,,"Yes",,12,121,"ที่ดิน  อาคารและอุปกรณ์",,,,,,,,
12110,"ที่ดิน",,"Asset",,,"No",,121,,,12,"Land",,,,,,
12120,"อาคาร",,"Asset",,,"No",,121,,,"10a","Buildings and other depreciable assets",,,,,,
12130,"ที่ดินเพื่อการปรับปรุง",,"Asset",,,"No",,121,,,"10a",,,,,,,
12140,"ส่วนปรับปรุงอาคาร",,"Asset",,,"No",,121,,,"10a",,,,,,,
12150,"ส่วนปรับปรุงทรัพย์สินที่เช่า",,"Asset",,,"No",,121,,,"10a",,,,,,,
122,"เครื่องตกแต่งและเครื่องใช้สำนักงาน",,"Asset",,,"Yes",,12,112,"เครื่องตกแต่งและเครื่องใช้สำนักงาน","10a",,,,,,,
12210,"เฟอร์นิเจอร์",,"Asset",,,"No",,122,,,,,,,,,,
12220,"เครื่องตกแต่งสำนักงาน",,"Asset",,,"No",,122,,,,,,,,,,
12230,"เครื่องมือและอุปกรณ์",,"Asset",,,"No",,122,,,,,,,,,,
12240,"ยานพาหนะ",,"Asset",,,"No",,122,,,,,,,,,,
12250,"รถบรรทุก",,"Asset",,,"No",,122,,,,,,,,,,
12260,"เครื่องคอมพิวเตอร์",,"Asset",,,"No",,122,,,,,,,,,,
12270,"ซอฟท์แวร์",,"Asset",,,"No",,122,,,,,,,,,,
123,"สินทรัพย์โครงการ",,"Asset",,,"Yes",,12,,,"10a",,,,,,,
12310,"สินทรัพย์ที่สร้างขึ้นเอง","Created Asset","Asset",,"Yes","No","PJ_ASSET_ACCT",123,,,,,,,,,,
12320,"งานระหว่างทำ-สินทรัพย์","Asset Work in Progress","Asset",,"Yes","No","PJ_WIP_ACCT",123,,,,,,,,,,
124,"ค่าเสื่อมราคาสะสม",,"Asset",,,"Yes",,12,124,"ค่าเสื่อมราคาสะสม","10b","Less accumulated depreciation",,,,,,
12410,"ค่าเสื่อมราคาสะสม-อาคาร",,"Asset",,,"No",,124,,,,,,,,,,
12420,"ค่าเสื่อมราคาสะสม-ส่วนปรับปรุงที่ดิน",,"Asset",,,"No",,124,,,,,,,,,,
12430,"ค่าเสื่อมราคาสะสม-ส่วนปรับปรุงอาคาร",,"Asset",,,"No",,124,,,,,,,,,,
12440,"ค่าเสื่อมราคาสะสม-ส่วนปรับปรุงสินทรัพย์ที่เช่า",,"Asset",,,"No",,124,,,,,,,,,,
12450,"ค่าเสื่อมราคาสะสม-เฟอร์นิเจอร์",,"Asset",,,"No",,124,,,,,,,,,,
12460,"ค่าเสื่อมราคาสะสม-เครื่องตกแต่งสำนักงาน",,"Asset",,,"No",,124,,,,,,,,,,
12470,"ค่าเสื่อมราคาสะสม-เครื่องมือและอุปกรณื",,"Asset",,,"No",,124,,,,,,,,,,
12480,"ค่าเสื่อมราคาสะสม-ยานพาหนะ",,"Asset",,,"No",,124,,,,,,,,,,
12490,"ค่าเสื่อมราคาสะสม-ยานพาหนะ-รถบรรทุุก",,"Asset",,,"No",,124,,,,,,,,,,
12500,"ค่าเสื่อมราคาสะสม-เครื่องคอมพิวเตอร์",,"Asset",,,"No",,124,,,,,,,,,,
