[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent]
1,TÀI SẢN NGẮN HẠN,,Asset,,,Yes,,
111,Tiền mặt,,Asset,,,Yes,,1
11110000,Tiền mặt tại quỹ – VNĐ,,Asset,,Yes,No,CB_ASSET_ACCT,111
11120000,Tiền mặt tại quỹ – USD,,Asset,,,No,,111
11130000,Vàng- bạc- kim khí quý- đá quý,,Asset,,,No,,111
112,Tiền gửi Ngân hàng,,Asset,,,Yes,,1
11211000,Tiền gửi ngân hàng – VNĐ,,Asset,,Yes,No,B_ASSET_ACCT,112
11211100,Tiền nhận được chưa phân bổ,,Asset,,Yes,No,B_UNALLOCATEDCASH_ACCT,112
11211200,Tiền gửi ko rõ nguồn gốc,,Asset,,Yes,No,B_UNIDENTIFIED_ACCT,112
11220000,Tiền gửi ngân hàng – USD,,Asset,,,No,,112
11230000,Vàng- bạc- kim khí quý- đá quý,,Asset,,,No,,112
113,Tiền đang chuyển,,Asset,,,Yes,,1
11310000,Tiền mặt đang chuyển,,Asset,,Yes,No,CB_CASHTRANSFER_ACCT,113
11320000,Tiền ngân hàng đang chuyển,,Asset,,Yes,No,B_INTRANSIT_ACCT,113
121,Đầu tư chứng khoán ngắn hạn,,Asset,,,Yes,,1
12110000,Cổ phiếu,,Asset,,,No,,121
12120000,Trái phiếu- tín phiếu- kỳ phiếu,,Asset,,,No,,121
128,Đầu tư ngắn hạn khác ,,Asset,,,Yes,,1
12810000,Tiền gửi có kỳ hạn ,,Asset,,,No,,128
12880000,Đầu tư ngắn hạn khác,,Asset,,,No,,128
129,Dự phòng giảm giá đầu tư ngắn hạn,,Asset,,,Yes,,1
131,Phải thu của khách hàng,,Asset,,,Yes,,1
13110000,Phải thu thương mại,,Asset,,Yes,No,C_RECEIVABLE_ACCT,131
13120000,Phải thu dịch vụ,,Asset,,Yes,No,C_RECEIVABLE_SERVICES_ACCT,131
13150000,Ứng trước cho nhà cung cấp,,Asset,,Yes,No,V_PREPAYMENT_ACCT,131
13160000,Phải thu chưa có hóa đơn,,Asset,,Yes,No,NOTINVOICEDRECEIVABLES_ACCT,131
13180000,Phải thu khách hàng khác,,Asset,,,No,,131
133,Thuế GTGT được khấu trừ,,Asset,,,Yes,,1
13310000,Thuế GTGT được khấu trừ của hàng hóa- dịch vụ,,Asset,,Yes,No,T_CREDIT_ACCT,133
13320000,Thuế GTGT được khấu trừ của TSCĐ,,Asset,,,No,,133
136,Phải thu nội bộ,,Asset,,,Yes,,1
13610000,Vốn kinh doanh ở các đơn vị trực thuộc,,Asset,,,No,,136
13680000,Phải thu nội bộ khác,,Asset,,Yes,No,INTERCOMPANYDUEFROM_ACCT,136
138,Phải thu khác,,Asset,,,Yes,,1
13810000,Tài sản thiếu chờ xử lý,,Asset,,,No,,138
