"SEARCHKEY";"ENGTEXT";"ENGTIP";"FRENCHTXT";"FRENCHTIP"
"1000_rupees";"1000 Rupees";" ";"1000 Rupees";" "
"100_dollars";"100 dollars";" ";"100 dollars";" "
"100_rupees";"100 Rupees";" ";"100 Rupees";" "
"10_dollars";"10 dollars";" ";"10 dollars";" "
"10_rupees";"10 Rupees";" ";"10 Rupees";" "
"1_cent";"1 cent";"1 cent";"1 sous/centime";" "
"1_dollar";"1 dollar";" ";"1 dollar";" "
"1_rupee";"1 Rupee";" ";"1 Rupee";" "
"2000_rupees";"2000 Rupees";" ";"2000 Rupees";" "
"200_rupees";"200 Rupees";" ";"200 Rupees";" "
"20_cents";"20 cents";"20 cents";"20 sous/centimes";" "
"20_dollars";"20 dollars";" ";"20 dollars";" "
"25_rupees";"25 Rupees";" ";"25 Rupees";" "
"500_rupees";"500 Rupees";" ";"500 Rupees";" "
"50_cents";"50 cents";"50 cents";"50 sous/centimes";" "
"50_dollars";"50 dollars";" ";"50 dollars";" "
"50_rupees";"50 Rupees";" ";"50 Rupees";" "
"5_cents";"5 cents";"5 cents";"5 sous/centimes";" "
"5_dollars";"5 dollars";" ";"5 dollars";" "
"5_rupees";"5 Rupees";" ";"5 Rupees";" "
"Due0";"Due 0";" ";"D 0";" "
"Due0_30";"Due 0-30";" ";"D 0-30";" "
"account.type";"Account Type";" ";"Type de compte";" "
"accounts.receivable";"Accounts Receivable-Trade";" ";"Comptes clients";" "
"activate";"Activate";" ";"Activer";" "
"activate.vendor";"Activate Vendor";" ";"Activer fournisseur";" "
"actual.price";"Actual Price";" ";"Prix actuel";" "
"add";"Add";" ";"Ajouter";" "
"add.black.listed.cheque";"Add Black Listed Cheque";" ";"Ajouter  aux ch�ues non valable";" "
"add.customer.fidelity.card";"Add Customer for fidelity card";" ";"Ajouter client �la liste des cartes de fid�it�;" "
"add.customer.for.fidelity.card";"Add Customer for fidelity card";" ";"Ajouter client �la liste des cartes de fid�it�;" "
"add.record";"Add Record";" ";"Ajouter";" "
"add.to.cart";"Add To Cart";" ";"Ajouter au Caddie";" "
"address";"Address";" ";"Adresse";" "
"adjust.cash.book";"Adjust Cash Book";" ";"Ajuster le livre de caisse";" "
"advanced";"Advanced";" ";"Avanc�";" "
"aging";"Aging";" ";"Balance �� du d�iteur";" "
"ajax.error";"Some error occured while communicating with the server. Please try again.";" ";"Une erreur s'est produite lors de la communication avec le serveur. Pri�e de r�ssayer";" "
"all";"All";" ";"Tout";" "
"all.products";"All products";" ";"Tous les produits";" "
"amount.difference";"Difference";" ";"Diff�ence";" "
"amount.expense";"Expense";" ";"D�enses";" "
"amount.receipt";"Receipt";" ";"Montant re�";" "
"amount.refunded";"Amount refunded";" ";"Montant rendu";" "
"amount.tendered";"Amount Tendered";" ";"Montant re�";" "
"amount.transfer";"Transfer";" ";"Montant transf��;" "
"application.name";"Application Name";" ";"Nom de l`application";" "
"application.version";"Application Version";" ";"Version de l`application";" "
"asset";"Assets";" ";"Actif";" "
"at.least.one";"At least one";" ";"Au moins un";" "
"attach.image";"Attach Image";" ";"Attacher une image";" "
"attribute";"Attribute";"Attribute";"Attribue";" "
"attribute.set";"Attribute Set";"Attribute Set";"Groupe de l`attribue";" "
"available.menu";"Available Menus";" ";"Menus disponibles";" "
"back";"Back";" ";"Retour";" "
"barcode";"Barcode";"Barcode";"Code barre";" "
"barcode.already.exists";"Barcode already exists!";" ";"Code barre d��existant";" "
"black.listed.cheques";"Black Listed Cheques";" ";"Ch�ue sur liste noire";" "
"bpartner.info";"Business Partner Info";" ";"Info sur tiers";" "
"bpartner.trx.details";"Business Partner Trx Details";" ";"D�ails des transactions des tiers";" "
"brand";"Brand";" ";"Marque";" "
"cal.period.curr";"Calculation Period And Curr.";" ";"P�iode de calcul et devise";" "
"card";"Card";" ";"Carte bleue";" "
"card.amount";"Card Amount";" ";"Montant carte bleue";" "
"card.amt.entered";"Card Amount Entered";" ";"Montant carte bleue �d�iter";" "
"card.amt.tendered";"Card amount tendered";" ";"Montant re� par carte bleue";" "
"card.amt.total";"Card Amount Total";" ";"Montant total sur carte bleue";" "
"card.is.empty";"The Cart is Empty !";" ";"Le caddie est vide!";" "
"card.no";"Card No";" ";"Num�o de carte bleue";" "
"card.total";"Card Total";" ";"Montant total sur carte bleue";" "
"cart.addmore";"Add More";" ";"Rajouter";" "
"cart.empty";"Cart is empty!";" ";"Le caddie est vide!";" "
"cart.has";"Cart has";" ";"Le caddie contient:";" "
"cart.items";" items";" ";"items";" "
"cart.remove";"Remove";" ";"Retirer";" "
"cash";"Cash";" ";"Esp�e";" "
"cash.amount";"Cash Amount";" ";"Montant en esp�e";" "
"cash.book";"Cash Book";" ";"Livre de caisse";" "
"cash.book.adjust";"The Cash Book has been adjusted.";" ";"Le livre de caisse a ��ajust�;" "
"cash.book.adjusted";"The Cash Book has been adjusted";" ";"Le livre de caisse a ��ajust�;" "
"cash.book.history";"Cash Book History";" ";"Historique du livre de caisse";" "
"cash.line.detail";"Cash Line Details";" ";"D�ail des lignes d'esp�e";" "
